Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C2, C3, C7, C8, C9",0603,10,1uF,
C14,CP_EIA-3528-15_AVX-H,1,220uF/6.3V,
C5,1206,1,4.7uF/50V,
C6,0603,1,100nF,
"D1, D2, D3",SOD-323,3,B0540W,
J2,FPCB24-SMD-0.5-17.6X5.0X2MM,1,Display,
J4,PinHeader_1x07_P2.54mm_Vertical_SMD_Pin1Right,1,Conn_01x07_Pin,
J5,PinHeader_1x07_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x07_Pin,
L1,L_TechFuse_SL0420,1,10uH,
Q1,SOT-323_SC-70,1,Si1304BDL,
R3,0603,1,0.47R/1%,
R4,0603,1,10K,
